entity,code,year,literacy_rate
Hong Kong,HKG,1950,57.5
Hungary,HUN,1900,60.1
Hungary,HUN,1910,67.7
Hungary,HUN,1920,86.6
Hungary,HUN,1930,90.0
Hungary,HUN,1941,93.6
Hungary,HUN,1950,95.5
Hungary,HUN,1980,98.86
Iceland,ISL,1950,98.5
India,IND,1901,6.2
India,IND,1911,7.0
India,IND,1921,8.3
India,IND,1931,9.1
India,IND,1950,17.5
India,IND,1981,40.76
India,IND,1991,48.22
India,IND,2001,61.01
India,IND,2006,62.75
India,IND,2010,68.32582
India,IND,2011,69.3
India,IND,2012,69.82793
India,IND,2018,73.688354
India,IND,2019,74.89386
India,IND,2020,75.52706
India,IND,2021,76.05966
India,IND,2022,76.32
India,IND,2023,81.7
India,IND,2024,78.16254
Indonesia,IDN,1950,17.5
Indonesia,IDN,1980,67.31
Indonesia,IDN,1990,81.52
Indonesia,IDN,2004,90.38
Indonesia,IDN,2006,91.98
Indonesia,IDN,2008,92.19
Indonesia,IDN,2009,92.58
Indonesia,IDN,2010,92.32
Indonesia,IDN,2011,92.81
Indonesia,IDN,2014,95.12
Indonesia,IDN,2015,95.22
Indonesia,IDN,2016,95.38
Indonesia,IDN,2018,95.66
Indonesia,IDN,2020,96.0
Iran,IRN,1950,12.5
Iran,IRN,1976,36.52
Iran,IRN,1986,52.32
Iran,IRN,1991,65.53
Iran,IRN,1996,73.06
Iran,IRN,2002,77.0
Iran,IRN,2005,82.44
Iran,IRN,2006,82.33
Iran,IRN,2008,82.96
Iran,IRN,2009,83.22224
Iran,IRN,2010,83.664665
Iran,IRN,2011,83.52
Iran,IRN,2012,83.63
Iran,IRN,2013,84.63
Iran,IRN,2014,84.71
Iran,IRN,2015,85.28343
Iran,IRN,2016,85.54
Iran,IRN,2017,85.94679
Iran,IRN,2018,86.868835
Iran,IRN,2019,87.37883
Iran,IRN,2020,87.902824
Iran,IRN,2021,88.4556
Iran,IRN,2022,88.59423
Iran,IRN,2023,88.91682
Iraq,IRQ,1950,12.5
Iraq,IRQ,2000,74.05
Iraq,IRQ,2012,77.2
Iraq,IRQ,2014,82.2
Iraq,IRQ,2016,83.3
Iraq,IRQ,2017,85.6
Iraq,IRQ,2021,84.064896
Ireland,IRL,1475,0.0
Ireland,IRL,1550,0.0
Ireland,IRL,1650,3.0
Ireland,IRL,1750,21.0
Ireland,IRL,1950,98.5
Isle of Man,IMN,1950,98.5
Israel,ISR,1950,92.5
Israel,ISR,1983,91.75
Italy,ITA,1475,15.0
Italy,ITA,1550,18.0
Italy,ITA,1650,23.0
Italy,ITA,1750,23.0
Italy,ITA,1901,51.8
Italy,ITA,1911,62.8
Italy,ITA,1921,73.2
Italy,ITA,1931,78.4
Italy,ITA,1950,87.5
Italy,ITA,1981,96.46
Italy,ITA,2001,98.42
Italy,ITA,2011,98.85
Italy,ITA,2019,99.35
Jamaica,JAM,1950,72.5
Jamaica,JAM,1999,79.92
Japan,JPN,1950,97.5
Jordan,JOR,1950,17.5
Jordan,JOR,1979,66.8
Jordan,JOR,2003,89.89
Jordan,JOR,2005,91.13
Jordan,JOR,2007,92.2
Jordan,JOR,2010,92.55
Jordan,JOR,2011,95.9
Jordan,JOR,2012,97.89
Jordan,JOR,2018,95.43
Jordan,JOR,2023,94.85
Jordan,JOR,2024,94.44
Kazakhstan,KAZ,1989,97.53
Kazakhstan,KAZ,1999,99.51
Kazakhstan,KAZ,2009,99.73
Kenya,KEN,1950,22.5
Kenya,KEN,2000,82.23
Kiribati,KIR,1950,92.5
Kiribati,KIR,2018,97.96
Kiribati,KIR,2020,98.60798
Kuwait,KWT,1950,17.5
Kuwait,KWT,1975,59.56
Kuwait,KWT,1980,67.52
Kuwait,KWT,1985,74.49
Kuwait,KWT,1995,78.4
Kuwait,KWT,2005,93.27
Kuwait,KWT,2006,93.28
Kuwait,KWT,2007,93.66
Kuwait,KWT,2008,93.9
Kuwait,KWT,2010,94.47
Kuwait,KWT,2012,95.51
Kuwait,KWT,2013,95.59
Kuwait,KWT,2015,95.69
Kuwait,KWT,2017,96.04
Kuwait,KWT,2018,96.06
Kuwait,KWT,2020,96.46
Kyrgyzstan,KGZ,1999,98.7
Kyrgyzstan,KGZ,2009,99.24
Laos,LAO,1950,17.5
Laos,LAO,1995,60.25
Laos,LAO,2000,69.58
Laos,LAO,2001,68.73
Laos,LAO,2005,72.7
Laos,LAO,2015,84.66
Laos,LAO,2017,73.72
Laos,LAO,2023,75.64
Latin America and Caribbean (WB),WB_LAC,1974,78.13
Latin America and Caribbean (WB),WB_LAC,1975,78.15
Latin America and Caribbean (WB),WB_LAC,1976,78.55
Latin America and Caribbean (WB),WB_LAC,1977,78.99
Latin America and Caribbean (WB),WB_LAC,1978,79.45
Latin America and Caribbean (WB),WB_LAC,1979,79.86
Latin America and Caribbean (WB),WB_LAC,1980,80.23
Latin America and Caribbean (WB),WB_LAC,1981,80.64
Latin America and Caribbean (WB),WB_LAC,1982,81.03
Latin America and Caribbean (WB),WB_LAC,1983,81.41
Latin America and Caribbean (WB),WB_LAC,1984,81.78
Latin America and Caribbean (WB),WB_LAC,1985,82.13
Latin America and Caribbean (WB),WB_LAC,1986,82.48
Latin America and Caribbean (WB),WB_LAC,1987,82.78
Latin America and Caribbean (WB),WB_LAC,1988,83.23
Latin America and Caribbean (WB),WB_LAC,1989,83.65
Latin America and Caribbean (WB),WB_LAC,1990,83.97
Latin America and Caribbean (WB),WB_LAC,1991,84.65
Latin America and Caribbean (WB),WB_LAC,1992,85.32
Latin America and Caribbean (WB),WB_LAC,1993,85.98
Latin America and Caribbean (WB),WB_LAC,1994,86.62
Latin America and Caribbean (WB),WB_LAC,1995,87.26
Latin America and Caribbean (WB),WB_LAC,1996,87.65
Latin America and Caribbean (WB),WB_LAC,1997,87.93
Latin America and Caribbean (WB),WB_LAC,1998,88.29
Latin America and Caribbean (WB),WB_LAC,1999,88.62
Latin America and Caribbean (WB),WB_LAC,2000,88.92
Latin America and Caribbean (WB),WB_LAC,2001,89.11
Latin America and Caribbean (WB),WB_LAC,2002,89.4
Latin America and Caribbean (WB),WB_LAC,2003,90.1
Latin America and Caribbean (WB),WB_LAC,2004,90.38
Latin America and Caribbean (WB),WB_LAC,2005,90.36
Latin America and Caribbean (WB),WB_LAC,2006,90.57
Latin America and Caribbean (WB),WB_LAC,2007,91.41
Latin America and Caribbean (WB),WB_LAC,2008,91.71
Latin America and Caribbean (WB),WB_LAC,2009,91.9
Latin America and Caribbean (WB),WB_LAC,2010,91.82
Latin America and Caribbean (WB),WB_LAC,2011,92.52
Latin America and Caribbean (WB),WB_LAC,2012,92.83
Latin America and Caribbean (WB),WB_LAC,2013,92.81
Latin America and Caribbean (WB),WB_LAC,2014,93.31
Latin America and Caribbean (WB),WB_LAC,2015,93.45
Latin America and Caribbean (WB),WB_LAC,2016,93.89
Latin America and Caribbean (WB),WB_LAC,2017,93.92
Latin America and Caribbean (WB),WB_LAC,2018,94.1
Latin America and Caribbean (WB),WB_LAC,2019,94.27
Latin America and Caribbean (WB),WB_LAC,2020,94.33
Latin America and Caribbean (WB),WB_LAC,2021,94.5
Latin America and Caribbean (WB),WB_LAC,2022,94.68
Latin America and Caribbean (WB),WB_LAC,2023,94.83
Latin America and Caribbean (WB),WB_LAC,2024,94.95
Latin America and the Caribbean (SDG),,1974,78.13
Latin America and the Caribbean (SDG),,1975,78.15
Latin America and the Caribbean (SDG),,1976,78.55
Latin America and the Caribbean (SDG),,1977,78.99
Latin America and the Caribbean (SDG),,1978,79.45
Latin America and the Caribbean (SDG),,1979,79.86
Latin America and the Caribbean (SDG),,1980,80.23
Latin America and the Caribbean (SDG),,1981,80.64
Latin America and the Caribbean (SDG),,1982,81.03
Latin America and the Caribbean (SDG),,1983,81.41
Latin America and the Caribbean (SDG),,1984,81.78
Latin America and the Caribbean (SDG),,1985,82.14
Latin America and the Caribbean (SDG),,1986,82.48
Latin America and the Caribbean (SDG),,1987,82.78
Latin America and the Caribbean (SDG),,1988,83.23
Latin America and the Caribbean (SDG),,1989,83.65
Latin America and the Caribbean (SDG),,1990,83.97
Latin America and the Caribbean (SDG),,1991,84.65
Latin America and the Caribbean (SDG),,1992,85.32
Latin America and the Caribbean (SDG),,1993,85.98
Latin America and the Caribbean (SDG),,1994,86.62
Latin America and the Caribbean (SDG),,1995,87.26
Latin America and the Caribbean (SDG),,1996,87.65
Latin America and the Caribbean (SDG),,1997,87.93
Latin America and the Caribbean (SDG),,1998,88.29
Latin America and the Caribbean (SDG),,1999,88.62
Latin America and the Caribbean (SDG),,2000,88.92
Latin America and the Caribbean (SDG),,2001,89.11
Latin America and the Caribbean (SDG),,2002,89.4
Latin America and the Caribbean (SDG),,2003,90.1
Latin America and the Caribbean (SDG),,2004,90.38
Latin America and the Caribbean (SDG),,2005,90.36
Latin America and the Caribbean (SDG),,2006,90.57
Latin America and the Caribbean (SDG),,2007,91.41
Latin America and the Caribbean (SDG),,2008,91.71
Latin America and the Caribbean (SDG),,2009,91.9
Latin America and the Caribbean (SDG),,2010,91.82
Latin America and the Caribbean (SDG),,2011,92.52
Latin America and the Caribbean (SDG),,2012,92.83
Latin America and the Caribbean (SDG),,2013,92.81
Latin America and the Caribbean (SDG),,2014,93.31
Latin America and the Caribbean (SDG),,2015,93.45
Latin America and the Caribbean (SDG),,2016,93.89
Latin America and the Caribbean (SDG),,2017,93.92
Latin America and the Caribbean (SDG),,2018,94.1
Latin America and the Caribbean (SDG),,2019,94.27
Latin America and the Caribbean (SDG),,2020,94.33
Latin America and the Caribbean (SDG),,2021,94.5
Latin America and the Caribbean (SDG),,2022,94.68
Latin America and the Caribbean (SDG),,2023,94.83
Latin America and the Caribbean (SDG),,2024,94.95
Latvia,LVA,1989,99.45
Latvia,LVA,2000,99.75
Latvia,LVA,2011,99.9
Lebanon,LBN,1950,47.5
Lebanon,LBN,2007,89.61
Lebanon,LBN,2009,91.18
Lebanon,LBN,2018,92.67
Lebanon,LBN,2019,92.00997
Lesotho,LSO,1950,52.5
Lesotho,LSO,2000,86.25
Lesotho,LSO,2006,66.1
Lesotho,LSO,2016,97.27
Lesotho,LSO,2018,86.24
Lesotho,LSO,2019,92.396164
Lesotho,LSO,2024,90.45
Liberia,LBR,1950,7.5
Liberia,LBR,1984,32.11
Liberia,LBR,2010,59.40303
Libya,LBY,1950,7.5
Libya,LBY,1984,60.16
Liechtenstein,LIE,1950,98.5
Lithuania,LTU,1989,98.44
Lithuania,LTU,2001,99.65
Lithuania,LTU,2011,99.82
Low-income countries,OWID_LIC,1988,46.48
Low-income countries,OWID_LIC,1989,46.91
Low-income countries,OWID_LIC,1990,47.42
Low-income countries,OWID_LIC,1991,47.7
Low-income countries,OWID_LIC,1992,47.82
Low-income countries,OWID_LIC,1993,48.08
Low-income countries,OWID_LIC,1994,48.34
Low-income countries,OWID_LIC,1995,48.82
Low-income countries,OWID_LIC,1996,49.16
Low-income countries,OWID_LIC,1997,49.77
Low-income countries,OWID_LIC,1998,50.44
Low-income countries,OWID_LIC,1999,51.01
Low-income countries,OWID_LIC,2000,51.43
Low-income countries,OWID_LIC,2001,52.07
Low-income countries,OWID_LIC,2002,52.72
Low-income countries,OWID_LIC,2003,53.14
Low-income countries,OWID_LIC,2004,53.61
Low-income countries,OWID_LIC,2005,54.02
Low-income countries,OWID_LIC,2006,52.17
Low-income countries,OWID_LIC,2007,53.39
Low-income countries,OWID_LIC,2008,54.25
Low-income countries,OWID_LIC,2009,54.77
Low-income countries,OWID_LIC,2010,55.27
Low-income countries,OWID_LIC,2011,57.49
Low-income countries,OWID_LIC,2012,57.98
Low-income countries,OWID_LIC,2013,58.9
Low-income countries,OWID_LIC,2014,59.03
Low-income countries,OWID_LIC,2015,59.7
Low-income countries,OWID_LIC,2016,60.36
Low-income countries,OWID_LIC,2017,61.42
Low-income countries,OWID_LIC,2018,61.72
Low-income countries,OWID_LIC,2019,61.74
Low-income countries,OWID_LIC,2020,61.88
Low-income countries,OWID_LIC,2021,62.33
Low-income countries,OWID_LIC,2022,62.77
Low-income countries,OWID_LIC,2023,63.21
Low-income countries,OWID_LIC,2024,63.57
Lower-middle-income countries,OWID_LMC,1975,43.73
Lower-middle-income countries,OWID_LMC,1976,43.83
Lower-middle-income countries,OWID_LMC,1977,44.39
Lower-middle-income countries,OWID_LMC,1978,44.97
Lower-middle-income countries,OWID_LMC,1979,45.54
Lower-middle-income countries,OWID_LMC,1980,46.1
Lower-middle-income countries,OWID_LMC,1981,46.65
Lower-middle-income countries,OWID_LMC,1982,47.23
Lower-middle-income countries,OWID_LMC,1983,47.73
Lower-middle-income countries,OWID_LMC,1984,48.34
Lower-middle-income countries,OWID_LMC,1985,48.95
Lower-middle-income countries,OWID_LMC,1986,49.49
Lower-middle-income countries,OWID_LMC,1987,50.34
Lower-middle-income countries,OWID_LMC,1988,51.0
Lower-middle-income countries,OWID_LMC,1989,51.7
Lower-middle-income countries,OWID_LMC,1990,52.42
Lower-middle-income countries,OWID_LMC,1991,53.18
Lower-middle-income countries,OWID_LMC,1992,54.1
Lower-middle-income countries,OWID_LMC,1993,55.0
Lower-middle-income countries,OWID_LMC,1994,55.87
Lower-middle-income countries,OWID_LMC,1995,56.69
Lower-middle-income countries,OWID_LMC,1996,57.52
Lower-middle-income countries,OWID_LMC,1997,58.35
Lower-middle-income countries,OWID_LMC,1998,61.85
Lower-middle-income countries,OWID_LMC,1999,62.64
Lower-middle-income countries,OWID_LMC,2000,62.87
Lower-middle-income countries,OWID_LMC,2001,63.61
Lower-middle-income countries,OWID_LMC,2002,64.35
Lower-middle-income countries,OWID_LMC,2003,65.4
Lower-middle-income countries,OWID_LMC,2004,66.11
Lower-middle-income countries,OWID_LMC,2005,65.9
Lower-middle-income countries,OWID_LMC,2006,65.86
Lower-middle-income countries,OWID_LMC,2007,66.37
Lower-middle-income countries,OWID_LMC,2008,67.03
Lower-middle-income countries,OWID_LMC,2009,67.71
Lower-middle-income countries,OWID_LMC,2010,69.59
Lower-middle-income countries,OWID_LMC,2011,70.29
Lower-middle-income countries,OWID_LMC,2012,70.72
Lower-middle-income countries,OWID_LMC,2013,71.6
Lower-middle-income countries,OWID_LMC,2014,72.23
Lower-middle-income countries,OWID_LMC,2015,73.31
Lower-middle-income countries,OWID_LMC,2016,74.07
Lower-middle-income countries,OWID_LMC,2017,74.61
Lower-middle-income countries,OWID_LMC,2018,75.44
Lower-middle-income countries,OWID_LMC,2019,75.41
Lower-middle-income countries,OWID_LMC,2020,76.04
Lower-middle-income countries,OWID_LMC,2021,76.65
Lower-middle-income countries,OWID_LMC,2022,77.26
Lower-middle-income countries,OWID_LMC,2023,77.78
Lower-middle-income countries,OWID_LMC,2024,78.28
Luxembourg,LUX,1950,96.5
Macao,MAC,1950,57.5
Macao,MAC,1981,90.38
Macao,MAC,2001,91.3
Macao,MAC,2006,93.5
Macao,MAC,2011,95.64
Macao,MAC,2016,96.54
Madagascar,MDG,1950,32.5
Madagascar,MDG,2000,70.69
Madagascar,MDG,2012,71.57
Madagascar,MDG,2018,76.68
Madagascar,MDG,2021,74.69
Malawi,MWI,1950,7.5
Malawi,MWI,1987,48.54
Malawi,MWI,1998,64.13
Malawi,MWI,2017,72.826675
Malawi,MWI,2018,76.72
Malawi,MWI,2020,70.15
Malaysia,MYS,1950,37.5
Malaysia,MYS,1980,69.52
Malaysia,MYS,1991,82.92
Malaysia,MYS,2000,88.69
Malaysia,MYS,2010,93.12
Malaysia,MYS,2016,94.88
Malaysia,MYS,2017,95.08
Malaysia,MYS,2018,94.85
Malaysia,MYS,2019,94.97
Malaysia,MYS,2022,95.77
Maldives,MDV,1950,72.5
Maldives,MDV,1977,82.3
Maldives,MDV,1985,92.23
Maldives,MDV,1990,96.02
Maldives,MDV,1995,96.33
Maldives,MDV,2000,96.33
Maldives,MDV,2006,98.4
Maldives,MDV,2014,98.61
Maldives,MDV,2016,97.73
Maldives,MDV,2017,94.51
Maldives,MDV,2019,98.21
Mali,MLI,1976,9.43
Mali,MLI,1998,19.04
Mali,MLI,2003,24.0
Mali,MLI,2006,26.18
Mali,MLI,2010,31.1
Mali,MLI,2011,30.62
Mali,MLI,2015,33.07
Mali,MLI,2018,35.47
Mali,MLI,2024,35.63
Malta,MLT,1950,57.5
Malta,MLT,1985,86.93
Malta,MLT,1995,87.87
Malta,MLT,2005,92.36
Malta,MLT,2011,93.31
Marshall Islands,MHL,2011,98.27
Marshall Islands,MHL,2019,98.18
Marshall Islands,MHL,2021,95.76293
Martinique,MTQ,1950,72.5
Martinique,MTQ,1982,92.8
Mauritania,MRT,2000,51.21
Mauritania,MRT,2013,62.07
Mauritania,MRT,2015,65.11
Mauritania,MRT,2020,59.53
Mauritius,MUS,1950,52.5
Mauritius,MUS,1990,79.87
Mauritius,MUS,2000,84.3
Mauritius,MUS,2011,89.25
Mauritius,MUS,2012,91.77
Mauritius,MUS,2013,91.49
Mauritius,MUS,2014,92.47
Mauritius,MUS,2015,92.71
Mauritius,MUS,2016,93.16
Mauritius,MUS,2021,92.98002
Mauritius,MUS,2023,94.28778
Mexico,MEX,1900,22.3
Mexico,MEX,1910,27.7
Mexico,MEX,1921,33.8
Mexico,MEX,1930,38.5
Mexico,MEX,1940,46.0
Mexico,MEX,1950,62.5
Mexico,MEX,1980,82.99
Mexico,MEX,1990,87.56
Mexico,MEX,2000,90.54
Mexico,MEX,2002,90.27
Mexico,MEX,2004,90.95
Mexico,MEX,2005,91.63
Mexico,MEX,2006,91.73
Mexico,MEX,2007,92.8
Mexico,MEX,2008,92.93
Mexico,MEX,2009,93.44
Mexico,MEX,2010,93.07
Mexico,MEX,2011,93.52
Mexico,MEX,2012,94.23
Mexico,MEX,2013,93.96
Mexico,MEX,2014,94.56
Mexico,MEX,2015,94.47
Mexico,MEX,2016,94.86
Mexico,MEX,2017,94.97
Mexico,MEX,2018,95.38
Mexico,MEX,2019,95.38894
Mexico,MEX,2020,95.25
Mexico,MEX,2021,95.689095
Mexico,MEX,2022,95.12
Mexico,MEX,2023,95.834694
Mexico,MEX,2024,95.55
Moldova,MDA,1989,96.38
Moldova,MDA,2000,96.65
Moldova,MDA,2014,99.36
Monaco,MCO,1950,96.5
Mongolia,MNG,1950,57.5
Mongolia,MNG,2000,97.77
Mongolia,MNG,2010,98.26
Mongolia,MNG,2018,96.9
Mongolia,MNG,2019,98.46
Mongolia,MNG,2020,99.18
Mongolia,MNG,2021,99.214355
Mongolia,MNG,2022,98.73
Mongolia,MNG,2023,98.64
Mongolia,MNG,2024,98.64
Montenegro,MNE,1981,89.64
Montenegro,MNE,1991,93.46
Montenegro,MNE,2003,97.77
Montenegro,MNE,2011,98.44
Montenegro,MNE,2018,98.53
Morocco,MAR,1950,12.5
Morocco,MAR,1982,30.26
Morocco,MAR,1994,41.59
Morocco,MAR,2004,52.31
Morocco,MAR,2008,55.15
Morocco,MAR,2009,56.08
Morocco,MAR,2011,67.08
Morocco,MAR,2012,69.16
Morocco,MAR,2014,64.26
Mozambique,MOZ,1950,3.0
Mozambique,MOZ,1980,27.0
Mozambique,MOZ,1997,38.71
Mozambique,MOZ,2003,48.16
Mozambique,MOZ,2009,50.58
Mozambique,MOZ,2015,56.04
Mozambique,MOZ,2017,60.66
Mozambique,MOZ,2020,59.78
Mozambique,MOZ,2022,61.665344
Myanmar,MMR,1901,28.4
Myanmar,MMR,1911,29.4
Myanmar,MMR,1921,35.7
Myanmar,MMR,1931,40.2
Myanmar,MMR,1950,57.5
Myanmar,MMR,1983,78.57
Myanmar,MMR,2000,89.94
Myanmar,MMR,2014,90.36
Myanmar,MMR,2016,84.78
Myanmar,MMR,2018,95.814285
Myanmar,MMR,2019,89.07
Myanmar,MMR,2020,93.5274
Namibia,NAM,1991,75.82
Namibia,NAM,2001,84.94
Namibia,NAM,2011,88.27
Namibia,NAM,2016,88.1305
Namibia,NAM,2018,88.28324
Namibia,NAM,2023,87.64
Nauru,NRU,1950,72.5
Nauru,NRU,2021,94.63379
Nauru,NRU,2023,96.59
Nepal,NPL,1950,3.0
Nepal,NPL,1981,20.57
Nepal,NPL,1991,32.98
Nepal,NPL,2001,48.61
Nepal,NPL,2008,55.560074
Nepal,NPL,2011,59.63
Nepal,NPL,2016,65.5
Nepal,NPL,2017,66.865395
Nepal,NPL,2019,68.71
Netherlands,NLD,1475,17.0
Netherlands,NLD,1550,12.0
Netherlands,NLD,1650,53.0
Netherlands,NLD,1750,85.0
Netherlands,NLD,1950,98.5
Netherlands Antilles,ANT,1950,72.5
New Caledonia,NCL,1950,37.5
New Caledonia,NCL,1976,91.3
New Caledonia,NCL,1989,93.08
New Caledonia,NCL,1996,96.14
New Zealand,NZL,1950,98.5
Nicaragua,NIC,1950,37.5
Nicaragua,NIC,2001,76.68
Nicaragua,NIC,2005,78.0
Nicaragua,NIC,2012,85.61057
Nicaragua,NIC,2014,87.32718
Niger,NER,2001,14.38
Niger,NER,2005,28.67
Niger,NER,2012,30.56
Niger,NER,2014,29.043707
Niger,NER,2018,33.05
Niger,NER,2022,35.61
Nigeria,NGA,1950,12.5
Nigeria,NGA,1991,55.45
Nigeria,NGA,2003,54.77
Nigeria,NGA,2006,70.2
Nigeria,NGA,2016,58.22
Nigeria,NGA,2021,63.16
Nigeria,NGA,2024,70.41
Niue,NIU,1950,92.5
Niue,NIU,2017,96.27151
Niue,NIU,2022,99.071495
Norfolk Island,NFK,1950,87.5
North America (WB),WB_NA,2003,98.62
North America (WB),WB_NA,2004,98.63
North America (WB),WB_NA,2005,98.64
North America (WB),WB_NA,2006,98.66
North America (WB),WB_NA,2007,98.67
North America (WB),WB_NA,2008,98.69
North America (WB),WB_NA,2017,98.75
North America (WB),WB_NA,2018,98.76
North America (WB),WB_NA,2019,98.76
North America (WB),WB_NA,2020,98.77
North America (WB),WB_NA,2021,98.79
North America (WB),WB_NA,2022,98.79
North Korea,PRK,2008,100.0
North Macedonia,MKD,1994,94.06
North Macedonia,MKD,2002,96.13
Northern Africa and Western Asia (SDG),,1977,55.94
Northern Africa and Western Asia (SDG),,1978,56.46
Northern Africa and Western Asia (SDG),,1979,56.8
Northern Africa and Western Asia (SDG),,1980,57.37
Northern Africa and Western Asia (SDG),,1981,57.96
Northern Africa and Western Asia (SDG),,1982,58.67
Northern Africa and Western Asia (SDG),,1983,58.96
Northern Africa and Western Asia (SDG),,1984,60.92
Northern Africa and Western Asia (SDG),,1985,61.62
Northern Africa and Western Asia (SDG),,1986,62.32
Northern Africa and Western Asia (SDG),,1987,63.01
Northern Africa and Western Asia (SDG),,1988,63.83
Northern Africa and Western Asia (SDG),,1989,64.5
Northern Africa and Western Asia (SDG),,1990,65.34
Northern Africa and Western Asia (SDG),,1991,66.0
Northern Africa and Western Asia (SDG),,1992,66.63
Northern Africa and Western Asia (SDG),,1993,67.07
Northern Africa and Western Asia (SDG),,1994,67.63
Northern Africa and Western Asia (SDG),,1995,68.22
Northern Africa and Western Asia (SDG),,1996,68.93
Northern Africa and Western Asia (SDG),,1997,69.65
Northern Africa and Western Asia (SDG),,1998,70.44
Northern Africa and Western Asia (SDG),,1999,71.15
Northern Africa and Western Asia (SDG),,2000,71.91
Northern Africa and Western Asia (SDG),,2001,72.78
Northern Africa and Western Asia (SDG),,2002,73.6
Northern Africa and Western Asia (SDG),,2003,75.71
Northern Africa and Western Asia (SDG),,2004,76.4
Northern Africa and Western Asia (SDG),,2005,77.0
Northern Africa and Western Asia (SDG),,2006,75.17
Northern Africa and Western Asia (SDG),,2007,75.85
Northern Africa and Western Asia (SDG),,2008,76.52
Northern Africa and Western Asia (SDG),,2009,77.72
Northern Africa and Western Asia (SDG),,2010,78.49
Northern Africa and Western Asia (SDG),,2011,80.07
Northern Africa and Western Asia (SDG),,2012,80.78
Northern Africa and Western Asia (SDG),,2013,81.64
Northern Africa and Western Asia (SDG),,2014,81.71
Northern Africa and Western Asia (SDG),,2015,82.37
Northern Africa and Western Asia (SDG),,2016,81.4
Northern Africa and Western Asia (SDG),,2017,81.93
Northern Africa and Western Asia (SDG),,2018,82.18
Northern Africa and Western Asia (SDG),,2019,82.42
Northern Africa and Western Asia (SDG),,2020,82.71
Northern Africa and Western Asia (SDG),,2021,82.93
Northern Africa and Western Asia (SDG),,2022,83.23
Northern Africa and Western Asia (SDG),,2023,83.44
Northern Africa and Western Asia (SDG),,2024,83.68
Norway,NOR,1950,98.5
Oceania (excluding Australia and New Zealand) (SDG),,1994,63.55
Oceania (excluding Australia and New Zealand) (SDG),,1995,63.46
Oceania (excluding Australia and New Zealand) (SDG),,1996,63.88
Oceania (excluding Australia and New Zealand) (SDG),,1997,64.28
Oceania (excluding Australia and New Zealand) (SDG),,1998,64.68
Oceania (excluding Australia and New Zealand) (SDG),,1999,64.98
Oceania (excluding Australia and New Zealand) (SDG),,2000,65.16
Oceania (excluding Australia and New Zealand) (SDG),,2001,65.5
Oceania (excluding Australia and New Zealand) (SDG),,2002,65.82
Oceania (excluding Australia and New Zealand) (SDG),,2003,66.13
Oceania (excluding Australia and New Zealand) (SDG),,2004,66.43
Oceania (excluding Australia and New Zealand) (SDG),,2005,66.72
Oceania (excluding Australia and New Zealand) (SDG),,2006,66.99
Oceania (excluding Australia and New Zealand) (SDG),,2007,67.25
Oceania (excluding Australia and New Zealand) (SDG),,2008,67.51
Oceania (excluding Australia and New Zealand) (SDG),,2009,67.75
Oceania (excluding Australia and New Zealand) (SDG),,2010,67.98
Oceania (excluding Australia and New Zealand) (SDG),,2011,67.88
Oceania (excluding Australia and New Zealand) (SDG),,2012,67.78
Oceania (excluding Australia and New Zealand) (SDG),,2013,67.69
Oceania (excluding Australia and New Zealand) (SDG),,2017,67.12
Oceania (excluding Australia and New Zealand) (SDG),,2018,67.01
Oceania (excluding Australia and New Zealand) (SDG),,2019,66.9
Oceania (excluding Australia and New Zealand) (SDG),,2020,66.78
Oceania (excluding Australia and New Zealand) (SDG),,2021,66.73
Oman,OMN,1950,3.0
Oman,OMN,2003,66.1
Oman,OMN,2008,86.62
Oman,OMN,2010,86.94
Oman,OMN,2015,93.04
Oman,OMN,2017,95.58
Oman,OMN,2018,95.65
Oman,OMN,2020,96.9
Oman,OMN,2022,97.34
Pakistan,PAK,1950,17.5
Pakistan,PAK,1981,25.73
Pakistan,PAK,1998,42.7
Pakistan,PAK,2005,49.87
Pakistan,PAK,2006,54.15
Pakistan,PAK,2007,52.14
Pakistan,PAK,2008,55.53
Pakistan,PAK,2009,54.89
Pakistan,PAK,2010,55.38
Pakistan,PAK,2011,54.74
Pakistan,PAK,2012,56.76
Pakistan,PAK,2013,55.59
Pakistan,PAK,2014,56.98
Pakistan,PAK,2017,59.13
Pakistan,PAK,2018,57.01
Pakistan,PAK,2019,58.0
Pakistan,PAK,2021,58.86
Palau,PLW,1980,91.92
Palau,PLW,2013,99.5
Palau,PLW,2015,96.59
Palau,PLW,2020,99.84481
Palestine,PSE,1997,86.08
Palestine,PSE,2004,92.48
Palestine,PSE,2006,93.45
Palestine,PSE,2007,93.76
Palestine,PSE,2008,94.01
Palestine,PSE,2009,94.43
Palestine,PSE,2010,94.72
Palestine,PSE,2011,95.03
Palestine,PSE,2012,95.67
Palestine,PSE,2013,96.05
Palestine,PSE,2014,96.21
Palestine,PSE,2015,96.48
Palestine,PSE,2016,96.72
Palestine,PSE,2017,96.92
Palestine,PSE,2018,97.22
Palestine,PSE,2019,97.38
Palestine,PSE,2020,97.51
Palestine,PSE,2021,97.684
Palestine,PSE,2022,97.84
Palestine,PSE,2024,97.93896
Panama,PAN,1950,67.5
Panama,PAN,1980,88.07
Panama,PAN,1990,88.78
Panama,PAN,2000,91.9
Panama,PAN,2010,94.09
Panama,PAN,2018,95.41
Panama,PAN,2019,95.74
Panama,PAN,2021,96.21191
